Item ID,Item Lookup Type ID,Name,Description,UDF01,UDF02,UDF03,UDF04,UDF05,UDF06,UDF07,UDF08,UDF09,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF20
1624,1,30-F1-0150-ITF,"1-1/2"" 3-Way, T-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F05 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1625,1,30-F1-0200-ILF,"2"" 3-Way, L-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F07 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1626,1,30-F1-0200-ITF,"2"" 3-Way, T-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F07 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1627,1,30-F1-0300-ILF,"3"" 3-Way, L-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F10 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1628,1,30-F1-0300-ITF,"3"" 3-Way, T-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F10 B.C With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1629,1,30-F1-0400-ILF,"4"" 3-Way, L-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F12 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1630,1,30-F1-0400-ITF,"4"" 3-Way, T-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F12 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1631,1,30-F1-0600-SLF,"6"" 3-Way, L-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F12 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1632,1,30-F1-0600-STF,"6"" 3-Way, T-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F12 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1633,1,30-F1-0800-SLF,"8"" 3-Way, L-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F16 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
3207,1,30-F1-1000-SLF,*,,,,,,,,,,,,,,,,,,,,
1634,1,30-F1-1000-STF,"10"" 3-Way, T-Port, 316SST Ball Valve, 150# Flanged Ends, Full Port, F16 B.C. With RTFE Seats.",,,,,,,,,,,,,,,,,,,,
1635,1,30-F3-0150-ILF,"1-1/2"" 3-Way, L-Port, 316 SST Ball Valve, 300# Flanged, Full Port, RTFE Seats",,,,,,,,,,,,,,,,,,,,
1636,1,30-F3-0200-ILF,"2"" 3-Way, L-Port, 316 SST Ball Valve, 300# Flanged, Full Port, RTFE Seats",,,,,,,,,,,,,,,,,,,,
1637,1,30-F3-0200-ITF,"2"" 3-Way, T-Port, 316 SST Ball Valve, 300# Flanged, Full Port, RTFE Seats",,,,,,,,,,,,,,,,,,,,
1638,1,30-F3-0300-ITF,"3"" 3-Way, T-Port, 316 SST Ball Valve, 300# Flanged, Full Port, RTFE Seats",,,,,,,,,,,,,,,,,,,,
1639,1,30-F3-0800-STF,"8"" 3-Way, T-Port, 316 SST Ball Valve, 300# Flanged, Full Port, RTFE Seats",,,,,,,,,,,,,,,,,,,,
1640,1,31C-F1-0150-XXX-L,"1-1/2"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L",,,,,,,,,,,,,,,,,,,,
1641,1,31C-F1-0150-XXX-T,"1-1/2"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement T",,,,,,,,,,,,,,,,,,,,
1642,1,31C-F1-0200-XXX-L,"2"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L",,,,,,,,,,,,,,,,,,,,
1643,1,31C-F1-0200-XXX-T,"2"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement T",,,,,,,,,,,,,,,,,,,,
